"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C2";"1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C3-P3-P4";"10uF";"CAPACITOR";"0603-CAP";"";"";
"C4-P3-P4";"0.1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C5-P1-P29-P30";"1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C6";"5.6pF";"CAPACITOR-0402";"0402-CAP";"";"";
"C7";"10nF/.1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C8";"DNP/1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"C9";"10pF";"CAPACITOR-0402";"0402-CAP";"";"";
"C10";"10pF";"CAPACITOR-0402";"0402-CAP";"";"";
"C11-FLASH";"0.1uF";"CAPACITOR-0402";"0402-CAP";"";"";
"J2";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";
"J6";"";"M09";"1X09";"Header 9";"";
"J7";"";"M09";"1X09";"Header 9";"";
"L1";"DNP";"INDUCTOR";"0402-FERRITE";"Inductors";"";
"L2";"DNP";"INDUCTOR";"0402-FERRITE";"Inductors";"";
"LED1-POWER";"Green";"LED0603";"LED-0603";"LEDs";"";
"LOGO1";"OSHW-LOGOBOTTOM";"OSHW-LOGOBOTTOM";"OSHW-LOGO-M-BOTTOM";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"Q1";"";"MOSFET-N";"SOT23";"2N7002P";"";
"Q2";"";"MOSFET-N";"SOT23";"2N7002P";"";
"R1";"2K";"RESISTOR-0402";"0402-RES";"";"";
"R2";"12K/1%";"RESISTOR-0402";"0402-RES";"";"";
"R3";"200R";"RESISTOR-0402";"0402-RES";"";"";
"R4";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R5";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R6";"2K";"RESISTOR-0402";"0402-RES";"";"";
"R7";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R8";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R9";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R10";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R11";"10K";"RESISTOR-0402";"0402-RES";"";"";
"R12";"10K";"RESISTOR-0402";"0402-RES";"";"";
"S1";"SWITCH-NO-MOM";"SWITCH-NO-MOM";"KXT-SWITCH";"Normally Open switches - Pushbuttons (for reset), etc.";"";
"S2";"SWITCH-NO-MOM";"SWITCH-NO-MOM";"KXT-SWITCH";"Normally Open switches - Pushbuttons (for reset), etc.";"";
"U$3";"26MHz";"CRYSTAL-GROUNDED";"CRYSTAL-3225";"";"";
"U$4";"EXPLORE-LABS-LOGOBOTTOM";"EXPLORE-LABS-LOGOBOTTOM";"EXLABS_LOGO_0.25";"";"";
"U$7";"BREADBOARD-830";"BREADBOARD-830";"BREADBOARD-830";"";"";
"U1";"ESP8266-EP";"ESP8266-EP";"QFN32";"ESP8266EX";"";
"U2";"AT25SF081";"AT25SF081";"SO08";"AT25SF081";"";
"U3";"AP2112K";"AP2112K";"SOT23-LDO";"";"";
"U4";"ANTENNA";"ANTENNA";"ANTENNA-WROOM-02-INV";"2.4 GHz Inverted F Antenna";"";
"WI-FI";"Red";"LED0603";"LED-0603";"LEDs";"";
